resourceType,sourceResourceId,databaseResourceId,entityLinkId,canonicalEntityId,canonicalEntityLabel,specialty,topic,deckBranch,safeCardTitle,historicalProvenance,historicalCreatedBy,historicalReviewStatus,historicalConfidence,suggestedMappingRole,mappingRole,reviewerDecision,reviewerUserId,reviewedAt,reviewedConfidence,safeNotes,evidenceHashes
orthobullets_question,OBQ04-46,0530e9c5-c26a-4d25-8fc0-c145d7c56843,f32fa6df-73ab-43a7-b989-7e5b435d8437,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ07-112,47a17e35-ac91-43ce-854f-9f6535f375e5,a4322bee-60f9-49f5-a32f-3b5244765af9,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ07-30,0935ec80-5f07-4c4a-879a-ba97eb954162,0e4b0eb7-ca7e-4748-a121-438f227114ca,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ08-49,3b81b838-a426-4894-ab31-02c259851ad7,7931b8ba-5823-470a-8f79-b9daece4350d,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ10-188,2bd452c3-8f72-405b-933a-f050f54e89d3,a8533f4f-28a4-42ed-918f-8843e88126b1,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ11-188,4511eb42-fbdd-45a7-94ab-9b5b352e3c17,2f9fd718-3b07-4bc5-b653-a81e549e4336,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ12-72,c285a393-5f38-413d-af4b-2656f701f304,f9fb1617-8648-4bd7-a931-34e43d05094c,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ15-181,de9a533c-699c-4217-b0b9-434066f09140,54765aba-c282-4494-94c7-0beba9a8da06,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ16-264,e3603a96-4c43-4767-b505-284f8bf1f899,49dbdceb-8ef9-4a63-9f07-15a8590340b6,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ18-157,370ee584-32c4-402d-8692-16d9b8d3fc92,35792621-e12c-410f-abb8-2b6b90732ebc,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ19-184,0dca0a26-b848-418f-a6a9-3e8f16615888,51a28ff5-6da2-49a2-99b8-6d9a81ce7bfb,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ20-143,a0def500-4964-4380-a340-cfd3c244174b,281e84e4-8022-4c46-aa36-88130d8fb1bd,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ20-144,7ded98f9-288b-4210-a933-53fa674f47be,aa8d23b7-49de-4bac-96f1-a3b6ece5b4cb,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ22-31,bb86650c-1583-42c9-ac17-bcfc70f05cc2,1f3f0bca-2e7a-44bc-b32a-ea6b7a185d42,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ22-57,1e54bac1-3f60-4d73-98ee-89c13c82d746,52d347b9-e749-4c73-bee2-fa8933b7edeb,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ23-104,b292e6bf-b768-45f4-8c2d-98f3024a9429,66090f1a-6ea0-4a9b-b577-f78aa19ec0ea,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ23-51,8e2c7b3a-1743-4a99-b841-b7679964adb6,78e80218-68d4-4414-a837-73b4ae8304f2,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ24-165,5b3157a8-cafd-48d4-b363-528004957955,dd0e950e-59cf-4f60-8eab-468a86c782e2,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,OBQ24-54,f4cd8d19-fc54-4acc-bdda-2d03414f45a3,fdd9e0de-20b4-44f7-8832-5d3cc97ffd2a,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ04PE-22,c5a44a65-0580-4f15-8e6e-13ea7c0428d4,f2d97540-a16a-4647-9afd-b98f1ff96bc0,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ16SM-48,90e90fe5-2830-47dc-97e5-902cbba3f06b,851be6de-7b09-4745-b434-f17e8873a278,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ16SM-51,e96f5a29-f7d3-4990-877d-54f0c268f23d,de883574-602d-49bb-ab07-fda2680a5bdb,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ16SM-52,1fac0b3f-344f-4fd0-8130-382b29280c10,7ae84cc1-e124-4c16-8c3c-8940943b043a,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ16SM-96,f932c7c4-342f-43f9-8d23-2ab56b91e673,5c398128-9b99-47d3-bd7b-d2707c696f70,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ19HK-51,41395364-95df-47c3-969c-2bda0fdb3d94,a0012834-e405-464c-b25c-5ac9d390c42e,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ19HK-52,4b99e1a2-3e26-415e-95e8-ac5bc67df6ce,d9b65069-be7e-4b46-8dc0-618587b67184,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ21SM-41,2cd43e53-7b1b-43f3-b786-c2775cff5209,3f0dce9b-8aee-420f-938b-78fb9d411bec,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ22PE-61,44323b19-6e1e-4b92-8976-8765488b8f6f,05177f48-ba7d-4e1e-b4c8-65894b09ca0a,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ24SM-22,9ac3eebf-98ca-442e-9a7a-1554135fe5dd,0ea5a6a1-f519-41d0-91fa-e8f526514110,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
orthobullets_question,SBQ24SM-75,e73cf753-e7dc-4bc6-b247-3e9c25b924b3,26b23cfd-38a5-4582-a94b-45c74d572e06,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,Patellar Instability,,,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,tests,,,,,,,
anki_card,10eb1d14-4517-4a95-8563-f5d03a97a9c7,10eb1d14-4517-4a95-8563-f5d03a97a9c7,f47095f7-2201-4c2a-8a17-e6737d84efff,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,patellar-instability,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,teaches,,,,,,,
anki_card,1d2deaeb-534c-4260-9981-a885a0cf7ec9,1d2deaeb-534c-4260-9981-a885a0cf7ec9,4bb8e1ee-78d2-42c8-8c8f-3f49b0a78cd5,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,patellar-instability,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,teaches,,,,,,,
anki_card,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,d97630f8-c0b6-4ae9-9e09-3a1a5684a195,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,patellar-instability,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,teaches,,,,,,,
anki_card,a9cf7f46-57b8-41b2-a575-0c790a2d6c6e,a9cf7f46-57b8-41b2-a575-0c790a2d6c6e,07f715a5-4aff-4449-916c-ebcb58488f49,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,knee-sports,patellar-instability,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,The femoral tunnel for MPFL reconstruction should be placed at {{c1::Schottle's Point}}.,curriculum_node_bridge,legacy_ontology_retargeting,approved,0.99,teaches,,,,,,,
