neighborhood,sourceQuestionId,specialty,topic,topicSlug,questionEntityIds,questionEntityLabels,questionMappingConfidence,questionMappingProvenance,rank,canonicalCardId,safeCardTitle,deck,noteGuid,cardOrdinal,sourceCardId,sharedEntityIds,sharedEntityLabels,cardMappingConfidence,cardMappingProvenance,rankingReason,siblingDuplicatesRemoved,reviewerLabel,reviewerNotes,missingObviousCard
patellar-instability,SBQ19HK-51,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ22PE-61,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ22PE-61,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ22PE-61,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ11-188,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ11-188,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ11-188,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ07-112,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ07-112,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ07-112,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ19HK-52,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ19HK-52,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ19HK-52,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ24-165,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ24-165,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ24-165,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ20-144,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ20-144,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ20-144,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ23-51,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ23-51,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ23-51,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ16SM-48,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ16SM-48,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ16SM-48,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ24SM-22,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ24SM-22,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,SBQ24SM-22,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,3,674a6a2c-a4b8-46d3-8c10-b66a6a37b1c9,What are four (4) osseous anatomical factors that causes patellar instability ? {{c1::Patella alta Trochlear dysplasia…,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,D?+9HH!Klu,0,1659382455945,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ20-143,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,1,10eb1d14-4517-4a95-8563-f5d03a97a9c7,What is the normal cutoff for TT-TG distance ? {{c1::<20 mm}},Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,m1##mmoK_8,0,1659382517203,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
patellar-instability,OBQ20-143,knee-sports,Patellar Instability,patellar-instability,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,2,1d2deaeb-534c-4260-9981-a885a0cf7ec9,A {{c1::Fulkerson-type}} osteotomy transfers the tibial tubercle anterior and medial to rectify patellar instability .,Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Extensor Mechanism::Patellar Instability,i^MepxA[ob,0,1659402797325,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,0.99,curriculum_node_bridge,exact_entity_overlap:1;confidence:0.990;direct_exact_rows:0,0,,,
